tx_from,transaction_count,swap_event_count,sell_volume,buy_volume,net_swap_to_pool,actual_transfer_net_to_pool
0x8409ec18bbc93a03f8bcfff9ce0be8cdb4d56cb1,1,1,0,0.9,-0.9,-0.9
0x88b3724fc8042618bd9a431142a5137b2c495510,1,1,0,0.442377017463770221,-0.442377017463770221,-0.442377017463770221
0x8928bcd4cc370e387187a70cda3d212be7dff7e7,1,1,0,0.28960435655469513,-0.28960435655469513,-0.28960435655469513
0x912ccbce20f38d9121170a5339dfa482530ca317,1,1,0,0.177171604859474532,-0.177171604859474532,-0.177171604859474532
0xa097f1fd7d691b13941a396de579d1a88043c60d,1,1,0,0.05199695836037515,-0.05199695836037515,-0.05199695836037515
0xa1076cf8721ce188e302c3957cbfda0aaabe7476,1,1,0,0.049815231607598797,-0.049815231607598797,-0.049815231607598797
0xa1de68d07945b1ff1222a73418fa295cf02ed102,1,1,0,0.004292613795067676,-0.004292613795067676,-0.004292613795067676
0xa400cdd18bc88974707e05267c466154484384a3,1,1,0,0.166111878068128752,-0.166111878068128752,-0.166111878068128752
0xa5be899c8ee634602b0c087de5b2ecd21da4101e,1,1,0,1.194956784251932659,-1.194956784251932659,-1.194956784251932659
0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,1,1,0,0.785769880330610865,-0.785769880330610865,-0.000000006322782494
0xaf02ed92699c10b0d70da0d75474dd4b34655689,1,1,0,0.025527778549343297,-0.025527778549343297,-0.025527778549343297
0xb231128ad58a89d17b7770cc7b521f2b7629c923,1,1,0,0.294068016764442973,-0.294068016764442973,-0.294068016764442973
0xb8921965ebd2588279e231e2ce7b4087e8219be6,1,1,0,0.016689503069066256,-0.016689503069066256,-0.016689503069066256
0xc32cc5c6215b6d420d251ad82d1ae1deb948a399,1,1,0,0.124356002426051742,-0.124356002426051742,-0.124356002426051742
0xc78304acdf1f0d62b51441a38e5c1bab78f03f7a,1,1,0,0.353851960036881897,-0.353851960036881897,-0.353851960036881897
0xca076193bd67ba2af014ce9f67138ef386184d6f,1,1,0,0.37265817742583134,-0.37265817742583134,-0.37265817742583134
0xd2ea0263b19f526dd066ef6f18f1182b02171cb2,2,2,0,1.350583142604814768,-1.350583142604814768,-1.350583142604814768
0xe2ee4ddc8c83aecedfc9daeaa18ac168bf0d759e,1,1,0,0.274152638477621529,-0.274152638477621529,-0.274152638477621529
0xe4da31cf4922f418bee01dd86e72631ab643bb5d,1,1,0,0.208109335876033528,-0.208109335876033528,-0.208109335876033528
0xe9fad7b0ff613b5e5114b44168951a7f5ba3fca7,1,1,0,0.105531865020098865,-0.105531865020098865,-0.105531865020098865
0xec873d5168924918bd75070852818df2f2c86a6a,1,1,0,0.379396438265343298,-0.379396438265343298,-0.379396438265343298
0xee0b97f6f1ff5bba7f7a2383b9af7f3ba3d82ea4,3,0,0,0,0,-0.233686597784972778
0xf1e9d7adbf331d50cb8fe5cdbfcbd4e68cf76e5f,1,1,0,0.20243943133556363,-0.20243943133556363,-0.20243943133556363
0xf71dbfd9178cb033b2b3f3f3974d23e06e152e88,1,1,0,0.119406588231505893,-0.119406588231505893,-0.119406588231505893
0xf81b0a7f88499d88008bf052201f1f726da14b4e,1,1,0,0.050621878355457467,-0.050621878355457467,-0.050621878355457467
0xf8e1b393bc20e669142b3c0bddc375a3e698d5cd,1,1,0,0.729218518685450486,-0.729218518685450486,-0.729218518685450486
0xfa60ddc1020715b096cd1dd529c614c69a32934e,1,1,0,0.825313497125279982,-0.825313497125279982,-0.825313497125279982
