address,balance_raw,balance_decimal,is_pool,pool_label,tx_count,first_seen_block,last_seen_block,query_timestamp
0x00b8f0c06c962d5e5796cBC301670F1ed95964Dc,0,0.0,False,,1,25003851,25003851,1784895933
0x0111Dcc6fc2dF10B1145FDCFEd2bCF1b1C00de91,0,0.0,False,,1,25003855,25003855,1784895933
0x023aB8e20a4682d315Daef4c91DB96bD77934D66,0,0.0,False,,3,25003688,25003706,1784895933
0x046e4C7B6dfAf5ee2C45714DFaC77ecaC3203a6c,0,0.0,False,,1,25003854,25003854,1784895933
0x04a281fE4c80DFD04b38Eaec7b9388DA061808AF,0,0.0,False,,1,25003923,25003923,1784895933
0x0504B6c68792c5E2E6aA75779DD09CE426a39ef9,0,0.0,False,,1,25003909,25003909,1784895933
0x05A50b3CD8349F786C7553c927B553545DBf9d33,7627241762,0.0,False,,1,25003893,25003893,1784895933
0x06CFf7088619C7178F5e14f0B119458d08d2f5ef,2,0.0,False,,8,25003788,25003965,1784895933
0x0799d03BEdC583145649C47cF9B8Acd1D76FB7bA,0,0.0,False,,1,25003849,25003849,1784895933
0x07dc98F9714Dc3BcB21dd1eE377253DdCdd10854,0,0.0,False,,2,25003868,25003868,1784895933
0x0833be979cB1A1Dc0EaaF98167c56f1b41776632,0,0.0,False,,3,25003717,25003742,1784895933
0x084c8b72D2643e48162103a5Ac0e324CA5194F8b,0,0.0,False,,6,25003880,25003970,1784895933
0x085cD4Ed123a7323E7413ddea3229de1fcc6c7ca,0,0.0,False,,1,25003866,25003866,1784895933
0x090a48553f734a1EB4b58eAcAe182a991b208087,0,0.0,False,,2,25003721,25003846,1784895933
0x0924ee61E78239992562F647e8e17f031810DA70,0,0.0,False,,1,25003914,25003914,1784895933
0x0A0cb20622DB73ea6E848e57b9a677A0B83664c9,0,0.0,False,,3,25003548,25003567,1784895933
0x0A9EF6eeE2aB15A88A888cd48068AB9ED528E77e,3611872504,0.0,False,,1,25003806,25003806,1784895933
0x0Ba05074c51178b64f3B2185C1346b3Afd9Cdca6,0,0.0,False,,4,25003970,25003989,1784895933
0x0D73723e987cDAA20695B3db50539F9490d60C2b,0,0.0,False,,1,25003920,25003920,1784895933
0x0E68543C8FbD0f6c96f0c9481125c265B0457A3C,0,0.0,False,,2,25003809,25003854,1784895933
0x0a9b1604453B41e84F1b28f5af31F28547796d0B,0,0.0,False,,1,25003982,25003982,1784895933
0x0d56D0f7d148b75af0527A5Cea73Ab926b59A190,0,0.0,False,,2,25003855,25003855,1784895933
0x0e4E8B9D84cf957a61b58Ab9AfD46fc51515872f,0,0.0,False,,1,25003921,25003921,1784895933
0x100ceB2AdCFdbd339A2926ea670298A91Ee3d501,0,0.0,False,,3,25003772,25003782,1784895933
0x106A403b2f6FBA4Cccb6Fb4FB2dC583dc3EFc6a3,0,0.0,False,,4,25003934,25003961,1784895933
0x10c5BC67bd88AEea42F9fBfD860a2b735333D675,0,0.0,False,,1,25003811,25003811,1784895933
0x111111125421cA6dc452d289314280a0f8842A65,0,0.0,False,,2,25003700,25003700,1784895933
0x115D731C7d556448EB4Dc8a1Aaa36A3D510443e0,0,0.0,False,,5,25003930,25004000,1784895933
0x1231DEB6f5749EF6cE6943a275A1D3E7486F4EaE,0,0.0,False,,63,25003556,25003992,1784895933
0x14014ae01E3D5a8Baea83FF9930a9AF7C2c6d209,0,0.0,False,,1,25003954,25003954,1784895933
0x1438D249d507A5C9374edB6d7e2F5185c9D003ff,0,0.0,False,,1,25003834,25003834,1784895933
0x14D6A8C651b5fC192B72d6813918792663Af00CE,0,0.0,False,,1,25003851,25003851,1784895933
0x14DC36f7EFbc8Ed73BdD4A9C9A2c0Ad22f0b1b2A,0,0.0,False,,1,25003619,25003619,1784895933
0x15E2CBb7Df22d15A40C7Bf6F5A3544FCd09C5F16,0,0.0,False,,4,25003843,25003992,1784895933
0x15f032be7Ae77C8046764b628117F5DD7bEDED16,0,0.0,False,,1,25003586,25003586,1784895933
0x1633D8c3F1Bf766C20DF49ea7A1f1D88fE68D646,0,0.0,False,,1,25003910,25003910,1784895933
0x163F3103De041d25464E2C8A4f8f3187EC1856E0,0,0.0,False,,154,25003626,25003973,1784895933
0x185634b095270d9b8699237A325684728a1f4372,0,0.0,False,,1,25003612,25003612,1784895933
0x18ab0452757f1dB22e0D30042Ae1A90eA771F028,0,0.0,False,,1,25003866,25003866,1784895933
0x190fb3B4118e5633820184fE9217049A88f07FCF,0,0.0,False,,2,25003706,25003710,1784895933
0x19eC47a33A3a92891043b4393d0aD472524721D3,0,0.0,False,,4,25003811,25003845,1784895933
0x19f6d4f62715Cfe62DA586CEE9BC87B1638a9515,0,0.0,False,,1,25003920,25003920,1784895933
0x1A135786FB8438533dec54A6E9C0aFA596E406aB,0,0.0,False,,1,25003980,25003980,1784895933
0x1A9C11bb8C884995ADD7E1E76a3C9e47A29f76c0,0,0.0,False,,1,25003678,25003678,1784895933
0x1C8A895EE42829429c05f624edbc1273e01893ed,0,0.0,False,,2,25003804,25003825,1784895933
0x1D3403d5B4cF207912473176B0d40441864DE6Be,0,0.0,False,,2,25003876,25003964,1784895933
0x1E2CA98F79751FF5dc7032D655377029a37D4B1D,0,0.0,False,,1,25003908,25003908,1784895933
0x1EBC7039e41d10E1c774b05C99369C2677a240Bd,0,0.0,False,,2,25003874,25003935,1784895933
0x1F8D22Ec5D6722A6ae19e2C3F7129aB9E24a9825,0,0.0,False,,1,25003818,25003818,1784895933
0x1b339A248ed98a23D56472Be4079B5b055A8BDaB,0,0.0,False,,1,25003905,25003905,1784895933
0x1c9caaf8d72d5735ee03062fD97b473a896fA491,0,0.0,False,,1,25003833,25003833,1784895933
0x1d5029220300B65921DAbA8Dd5C5bCb8833db17A,0,0.0,False,,1,25003678,25003678,1784895933
0x2074729D51A4E04bB5A0D4ce103fC017341e97D6,0,0.0,False,,2,25003911,25003936,1784895933
0x20c633D759E9FbB896D4bA4b3112508Df002188C,0,0.0,False,,2,25003817,25003820,1784895933
0x2409E95953e229a431d6C277D5408F48c3149be4,0,0.0,False,,1,25003947,25003947,1784895933
0x246e33656D6Ea870f6e21f50addA940c9cdb6f0C,0,0.0,False,,1,25003818,25003818,1784895933
